,Crop_Name,Crop_Variety,Crop_Category,Part_Used,Industry_Demand,Sowing_Months,Ideal_Soil_Types,Germination_Weather_JSON,Vegetative_Weather_JSON,Flowering_Fruiting_Weather_JSON,Harvesting_Weather_JSON,Nutrient_Needs_NPK,Expected_Yield_per_Acre,Post_Harvest_Handling,Crop_Duration_days_min,Crop_Duration_days_max,Optimal_pH_Range_min,Optimal_pH_Range_max
85,Ashwagandha,Poshita,Medicinal,Root,"Pharma, Ayurveda",June-July,"Sandy loam, red soil","25-34°C, 50-70% RH","28-38°C, 45-65% RH","22-26°C, 40-60% RH","21-27°C, 40-56% RH",25:25:0 (kg/ha),8-10 qtl/acre,"Washing, drying, root grading",150.0,170.0,7.0,8.0
86,Lemon Grass,Krishna,Aromatic,"Leaf, Oil","Essential Oil, Pharma",Feb-Mar,"Sandy loam, loam","22-34°C, 60-80% RH","26-36°C, 65-80% RH","25-32°C, 55-70% RH","22-28°C, 50-60% RH",110:60:60 (kg/ha),12-14 tons/acre (fresh),"Drying, distillation, storage",180.0,220.0,6.2,7.2
87,Lemon Grass,CIMAP LG-12,Aromatic,"Leaf, Oil","Essential Oil, Pharma",Feb-Mar,"Sandy loam, loam","22-34°C, 60-80% RH","26-36°C, 65-80% RH","25-32°C, 55-70% RH","22-28°C, 50-60% RH",110:60:60 (kg/ha),10-13 tons/acre (fresh),"Drying, distillation, storage",180.0,220.0,6.2,7.2
88,Marigold,Pusa Narangi,Floriculture,Flower,"Decoration, Oil",Aug-Sept,"Sandy loam, loam","23-30°C, 60-75% RH","24-32°C, 55-75% RH","25-32°C, 45-65% RH","20-26°C, 40-55% RH",80:60:60 (kg/ha),5-6 tons/acre (flowers),"Flower cutting, grading, storage",110.0,120.0,6.0,7.8
89,Pomegranate,Bhagwa,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, June-Aug","Sandy loam, loam","24-32°C, 60-80% RH","28-34°C, 55-70% RH","28-36°C, 40-65% RH","24-32°C, 50-60% RH",600:250:250 (g/plant),8-10 tons/acre,"Grading, cold storage, waxing",170.0,200.0,6.0,7.5
90,Pomegranate,Ganesh,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, June-Aug","Sandy loam, loam","24-32°C, 60-80% RH","28-34°C, 55-70% RH","28-36°C, 40-65% RH","24-32°C, 50-60% RH",600:250:250 (g/plant),7-9 tons/acre,"Grading, cold storage, waxing",170.0,195.0,6.0,7.5
91,Aonla,NA-7,Horticultural,Fruit,"Food, Pharma, Export",July-Sept,"Sandy loam, loam","24-36°C, 55-80% RH","26-38°C, 60-80% RH","28-36°C, 55-70% RH","18-30°C, 50-65% RH",500:200:200 (g/plant),7-9 tons/acre,"Grading, packing, chilling",160.0,180.0,6.5,8.0
92,Ber,Goma Kirti,Horticultural,Fruit,"Food, Processing",June-July,"Sandy, loam, red soil","24-38°C, 55-75% RH","28-36°C, 60-75% RH","28-36°C, 50-70% RH","20-30°C, 50-60% RH",500:200:200 (g/plant),5-8 tons/acre,"Grading, chilling, packaging",140.0,160.0,6.5,8.5
93,Watermelon,Arka Jyoti,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, June-Jul","Sandy loam, loamy sand","28-35°C, 60-80% RH","30-38°C, 50-75% RH","30-38°C, 50-65% RH","22-32°C, 50-65% RH",100:50:50 (kg/ha),25-30 tons/acre,"Grading, chilling, packaging",75.0,100.0,6.0,7.5
94,Onion,Agrifound Light Red,Horticultural,Bulb,"Food, Export","Nov-Dec, Jan-Feb","Sandy loam, loam","20-28°C, 65-80% RH","24-34°C, 50-70% RH","22-28°C, 40-60% RH","16-22°C, 40-55% RH",60:40:40 (kg/ha),12-16 qtl/acre,"Curing, sorting, storage",90.0,110.0,6.0,7.0
95,Tomato,Arka Rakshak,Horticultural,Fruit,"Food, Processing","June-July, Nov-Dec","Sandy loam, loam","20-28°C, 65-80% RH","26-32°C, 60-75% RH","22-28°C, 50-65% RH","18-25°C, 50-60% RH",100:50:50 (kg/ha),12-18 tons/acre,"Sorting, grading, packaging",100.0,110.0,6.0,7.0
96,Flax,JLS 66,Fibre,"Fibre, Seed","Oil, Fibre, Export",Oct-Nov,"Sandy loam, loam","18-26°C, 55-70% RH","20-30°C, 50-70% RH","20-26°C, 45-60% RH","18-22°C, 40-60% RH",50:20:20 (kg/ha),5-6 qtl/acre (seed),"Retting, drying, baling",120.0,130.0,6.0,7.5
97,Tomato,Pusa Rohini,Horticultural,Fruit,"Food, Processing","June-July, Nov-Dec","Sandy loam, loam","20-28°C, 70-80% RH","26-32°C, 65-75% RH","20-28°C, 50-65% RH","18-25°C, 45-60% RH",100:50:50 (kg/ha),16-20 tons/acre,"Sorting, grading, packing",105.0,120.0,6.0,7.0
98,Tomato,Arka Vikas,Horticultural,Fruit,"Food, Processing","June-July, Nov-Dec","Sandy loam, loam","20-28°C, 65-75% RH","26-32°C, 75-85% RH","20-28°C, 55-65% RH","18-25°C, 45-60% RH",100:50:50 (kg/ha),18-22 tons/acre,"Sorting, grading, packing",110.0,120.0,6.0,7.5
99,Onion,N-53,Horticultural,Bulb,"Food, Export","Nov-Dec, Feb-Mar","Sandy loam, loam","18-28°C, 65-80% RH","24-34°C, 50-70% RH","22-28°C, 40-60% RH","16-22°C, 40-55% RH",60:40:40 (kg/ha),12-16 qtl/acre,"Curing, sorting, storage",90.0,110.0,6.0,7.0
100,Onion,Agrifound Dark Red,Horticultural,Bulb,"Food, Export","Nov-Dec, Feb-Mar","Sandy loam, loam","18-28°C, 65-80% RH","24-34°C, 50-70% RH","22-28°C, 40-60% RH","16-22°C, 40-55% RH",60:40:40 (kg/ha),14-18 qtl/acre,"Curing, sorting, storage",90.0,110.0,6.0,7.0
101,Potato,Kufri Bahar,Horticultural,Tuber,"Food, Processing, Seed",Oct-Nov,"Sandy loam, loam","16-22°C, 75-85% RH","18-23°C, 70-80% RH","15-20°C, 70-80% RH","10-16°C, 60-65% RH",120:80:120 (kg/ha),70-90 qtl/acre,"Curing, grading, cold storage",90.0,100.0,5.5,7.5
102,Potato,Kufri Jyoti,Horticultural,Tuber,"Food, Processing, Seed",Oct-Nov,"Sandy loam, loam","16-22°C, 75-85% RH","18-23°C, 70-80% RH","15-20°C, 70-80% RH","10-16°C, 60-65% RH",120:80:120 (kg/ha),65-85 qtl/acre,"Curing, grading, cold storage",90.0,100.0,5.5,7.5
103,Bitter Gourd,Pusa Vishesh,Horticultural,Fruit,"Food, Export","Feb-Mar, Jun-Jul","Sandy loam, loam","24-28°C, 70-80% RH","26-34°C, 55-75% RH","26-36°C, 40-60% RH","20-28°C, 45-65% RH",100:50:50 (kg/ha),8-12 tons/acre,"Grading, packaging, chilling",70.0,80.0,6.0,6.7
104,Drumstick,PKM 1,Horticultural,"Pod, Leaf","Food, Processing","Jul-Aug, Feb-Mar","Sandy loam, loam","25-35°C, 50-70% RH","28-38°C, 50-75% RH","28-38°C, 50-60% RH","20-32°C, 40-60% RH",20:20:18 (kg/ha),10-12 tons/acre,"Grading, chilling, packing",220.0,225.0,6.0,7.5
105,Watermelon,Arka Jyoti,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, Jun-Jul","Sandy loam, loamy sand","28-35°C, 60-80% RH","30-38°C, 55-75% RH","30-38°C, 50-65% RH","20-30°C, 50-65% RH",100:50:50 (kg/ha),26-32 tons/acre,"Grading, packaging, chilling",75.0,100.0,6.0,7.5
106,Flax,JLS 66,Fibre,"Fibre, Seed","Fibre, Oil, Export",Oct-Nov,"Sandy loam, loam","14-22°C, 60-70% RH","18-28°C, 65-75% RH","16-24°C, 45-55% RH","14-22°C, 40-60% RH",50:20:20 (kg/ha),4-6 qtl/acre (seed),"Retting, drying, baling",120.0,130.0,6.0,7.0
107,Hemp,Futura 75,Fibre,"Fibre, Seed","Textile, Bioplastics","Jun-July, Feb-Mar","Sandy loam, loam","14-28°C, 70-80% RH","20-32°C, 50-70% RH","20-30°C, 45-60% RH","14-26°C, 45-60% RH",80:50:50 (kg/ha),8-10 qtl/acre (fibre),"Retting, drying, baling",120.0,150.0,6.0,7.5
108,Castor,GCH 7,Oilseed,"Seed, Oil","Oil, Industry, Biofuel",Jul-Aug,"Sandy loam, loam","25-35°C, 60-70% RH","28-38°C, 55-65% RH","30-38°C, 40-55% RH","22-28°C, 35-50% RH",50:25:0 (kg/ha),10-13 qtl/acre,"Drying, cleaning, grading",140.0,150.0,6.0,7.5
109,Castor,DCH 177,Oilseed,"Seed, Oil","Oil, Industry, Biofuel",Jul-Aug,"Sandy loam, loam","25-35°C, 60-70% RH","28-38°C, 55-65% RH","30-38°C, 40-55% RH","22-28°C, 35-50% RH",50:25:0 (kg/ha),11-15 qtl/acre,"Drying, cleaning, grading",140.0,150.0,6.0,7.5
110,Marigold,Pusa Narangi,Floriculture,Flower,"Decoration, Oil",Aug-Sept,"Sandy loam, loam","20-30°C, 65-80% RH","25-32°C, 65-80% RH","25-32°C, 50-70% RH","20-28°C, 45-60% RH",80:60:60 (kg/ha),5-7 tons/acre (flowers),"Flower cutting, grading, packing",110.0,120.0,6.0,7.5
111,Rose,Pusa Shola,Floriculture,Flower,"Perfume, Oil, Ornamental",Sep-Oct,"Sandy loam, loam","15-28°C, 70-85% RH","20-32°C, 65-75% RH","26-32°C, 50-65% RH","14-30°C, 45-60% RH",100:80:80 (g/plant/year),10-15 tons/acre,"Flower cutting, cold storage",120.0,150.0,6.5,7.5
112,Gerbera,Pink Elegance,Floriculture,Flower,"Ornamental, Florist",Aug-Sept,"Sandy loam, loam","18-24°C, 65-80% RH","20-28°C, 65-75% RH","24-28°C, 60-75% RH","16-20°C, 45-60% RH",150:100:120 (g/plant/year),"80,000-120,000 stems/acre","Grading, packing, cold storage",120.0,140.0,5.5,6.5
113,Aonla,NA-7,Horticultural,Fruit,"Food, Pharma, Export",July-Sept,"Sandy loam, loam","24-36°C, 60-80% RH","26-38°C, 60-80% RH","28-36°C, 55-70% RH","18-30°C, 50-65% RH",500:200:200 (g/plant/year),7-9 tons/acre,"Grading, packing, chilling",160.0,180.0,6.5,8.0
114,Ber,Goma Kirti,Horticultural,Fruit,"Food, Processing",June-July,"Sandy, loam, red soil","24-38°C, 55-75% RH","28-36°C, 60-75% RH","28-36°C, 50-70% RH","20-30°C, 50-60% RH",500:200:200 (g/plant/year),5-8 tons/acre,"Grading, chilling, packaging",140.0,160.0,6.5,8.5
115,Guar,RGC 197,Cash Crop,"Seed, Gum","Gum, Food, Feed",June-July,"Sandy loam, sand","30-34°C, 60-70% RH","34-40°C, 45-65% RH","28-34°C, 40-55% RH","26-32°C, 35-50% RH",16:32:17 (kg/ha),6-8 qtl/acre,"Drying, cleaning, grading",85.0,95.0,7.2,8.8
116,Guar,RGC 1066,Cash Crop,"Seed, Gum","Gum, Food, Feed",June-July,"Sandy loam, sand","30-34°C, 60-70% RH","34-40°C, 45-65% RH","28-34°C, 40-55% RH","26-32°C, 35-50% RH",16:32:17 (kg/ha),5-7 qtl/acre,"Drying, cleaning, grading",85.0,95.0,7.2,8.8
117,Ashwagandha,JA-20,Medicinal,Root,"Pharma, Ayurveda",June-July,"Sandy loam, red soil","25-34°C, 55-70% RH","28-38°C, 45-65% RH","22-26°C, 40-60% RH","21-27°C, 40-56% RH",25:25:0 (kg/ha),8-11 qtl/acre,"Washing, drying, root grading",150.0,180.0,7.0,8.0
118,Basil,CIM-Saumya,Aromatic,"Leaf, Oil","Aroma, Essential Oil","Feb-Mar, Jul-Aug","Sandy loam, loam","18-28°C, 65-80% RH","24-32°C, 65-85% RH","24-32°C, 55-65% RH","20-26°C, 45-60% RH",100:60:40 (kg/ha),5-6 tons/acre (herbage),"Drying, distillation, oil extraction",90.0,110.0,6.0,8.0
119,Lemon Grass,Krishna,Aromatic,"Leaf, Oil","Aroma, Essential Oil",Feb-Mar,"Sandy loam, loam","22-30°C, 60-70% RH","26-36°C, 65-80% RH","25-32°C, 55-70% RH","22-28°C, 50-60% RH",110:60:60 (kg/ha),12-14 tons/acre (fresh biomass),"Drying, distillation, storage",180.0,220.0,6.0,7.5
120,Mustard,DRMR 150-35,Oilseed,"Seed, Oil","Oil, Food, Biofuel",Oct-Nov,"Sandy loam, loam","22-30°C, 55-65% RH","20-26°C, 50-65% RH","20-24°C, 40-55% RH","20-24°C, 40-50% RH",45:20:15 (kg/ha),8-9 qtl/acre,"Drying, cleaning, grading",120.0,130.0,6.0,8.0
121,Mustard,RH 749,Oilseed,"Seed, Oil","Oil, Food, Biofuel",Oct-Nov,"Sandy loam, loam","22-30°C, 55-65% RH","20-26°C, 50-65% RH","20-24°C, 40-55% RH","20-24°C, 40-50% RH",45:20:15 (kg/ha),8-10 qtl/acre,"Drying, cleaning, grading",120.0,135.0,6.0,8.0
122,Mustard,Pusa Bold,Oilseed,"Seed, Oil","Oil, Food, Biofuel",Oct-Nov,"Sandy loam, loam","22-30°C, 55-65% RH","20-26°C, 50-65% RH","20-24°C, 40-55% RH","20-24°C, 40-50% RH",45:20:15 (kg/ha),9-11 qtl/acre,"Drying, cleaning, grading",120.0,130.0,6.0,8.0
123,Groundnut,TG 37A,Oilseed,"Seed, Oil","Food, Oil, Export",June-July,"Sandy loam, loam","28-32°C, 65-75% RH","30-38°C, 50-70% RH","28-36°C, 45-60% RH","26-32°C, 45-55% RH",30:40:50 (kg/ha),8-10 qtl/acre,"Drying, pod stripping, grading",110.0,115.0,6.0,7.5
124,Groundnut,GG 20,Oilseed,"Seed, Oil","Food, Oil, Export",June-July,"Sandy loam, loam","28-32°C, 65-75% RH","30-38°C, 50-70% RH","28-36°C, 45-60% RH","26-32°C, 45-55% RH",30:40:50 (kg/ha),10-12 qtl/acre,"Drying, pod stripping, grading",110.0,115.0,6.0,7.5
125,Sesame,RT 351,Oilseed,"Seed, Oil","Oil, Food, Export",July-Aug,"Sandy loam, loam","26-32°C, 60-70% RH","30-36°C, 50-70% RH","30-36°C, 40-55% RH","25-30°C, 40-55% RH",35:25:0 (kg/ha),3-4 qtl/acre,"Drying, cleaning, grading",85.0,90.0,5.5,7.5
126,Sesame,RT 46,Oilseed,"Seed, Oil","Oil, Food, Export",July-Aug,"Sandy loam, loam","26-32°C, 60-70% RH","30-36°C, 50-70% RH","30-36°C, 40-55% RH","25-30°C, 40-55% RH",35:25:0 (kg/ha),3.5-4.5 qtl/acre,"Drying, cleaning, grading",85.0,90.0,5.5,7.5
127,Castor,GCH 7,Oilseed,"Seed, Oil","Oil, Industrial",July-Aug,"Sandy loam, loam","25-35°C, 60-70% RH","28-38°C, 55-65% RH","30-38°C, 40-55% RH","22-28°C, 35-50% RH",50:25:0 (kg/ha),10-13 qtl/acre,"Drying, cleaning, grading",140.0,150.0,6.0,7.5
128,Castor,DCH 177,Oilseed,"Seed, Oil","Oil, Industrial",July-Aug,"Sandy loam, loam","25-35°C, 60-70% RH","28-38°C, 55-65% RH","30-38°C, 40-55% RH","22-28°C, 35-50% RH",50:25:0 (kg/ha),11-15 qtl/acre,"Drying, cleaning, grading",140.0,150.0,6.0,7.5
129,Isabgol,GI-2,Medicinal,Husk (Seed),"Pharma, Food, Export",Oct-Nov,"Sandy loam, saline","20-30°C, 60-70% RH","20-25°C, 50-60% RH","20-26°C, 40-55% RH","18-24°C, 40-56% RH",30:25:0 (kg/ha),4-5 qtl/acre,"Drying, cleaning, husk sep.",110.0,120.0,6.5,7.8
130,Isabgol,HI 5,Medicinal,Husk (Seed),"Pharma, Food, Export",Oct-Nov,"Sandy loam, saline","20-30°C, 60-70% RH","20-25°C, 50-60% RH","20-26°C, 40-55% RH","18-24°C, 40-56% RH",30:25:0 (kg/ha),4-5 qtl/acre,"Drying, cleaning, husk sep.",110.0,120.0,6.5,7.8
131,Ashwagandha,Poshita,Medicinal,Root,"Pharma, Ayurveda",June-July,"Sandy loam, red soil","25-34°C, 55-70% RH","28-38°C, 45-65% RH","22-26°C, 40-60% RH","21-27°C, 40-56% RH",25:25:0 (kg/ha),8-10 qtl/acre,"Washing, drying, root grading",150.0,170.0,7.0,8.0
132,Lemon Grass,Krishna,Aromatic,"Leaf, Oil","Essential Oil, Pharma",Feb-Mar,"Sandy loam, loam","22-30°C, 60-70% RH","26-36°C, 65-80% RH","25-32°C, 55-70% RH","22-28°C, 50-60% RH",110:60:60 (kg/ha),12-14 tons/acre (fresh),"Drying, distillation, storage",180.0,220.0,6.0,7.5
133,Lemon Grass,CIMAP LG-12,Aromatic,"Leaf, Oil","Essential Oil, Pharma",Feb-Mar,"Sandy loam, loam","22-30°C, 60-70% RH","26-36°C, 65-80% RH","25-32°C, 55-70% RH","22-28°C, 50-60% RH",110:60:60 (kg/ha),10-13 tons/acre (fresh),"Drying, distillation, storage",180.0,220.0,6.0,7.5
134,Marigold,Pusa Narangi Gainda,Floriculture,Flower,"Decoration, Oil",Aug-Sept,"Sandy loam, loam","23-29°C, 60-80% RH","24-32°C, 60-80% RH","25-32°C, 55-70% RH","24-28°C, 40-55% RH",80:60:60 (kg/ha),5-6 tons/acre (flowers),"Flower cutting, grading, storage",120.0,130.0,6.0,8.0
135,Rose,Pusa Shola,Floriculture,Flower,"Perfume, Ornamental",Sep-Oct,"Sandy loam, loam","15-28°C, 70-85% RH","20-32°C, 65-75% RH","26-32°C, 50-65% RH","14-30°C, 45-60% RH",100:80:80 (g/plant/year),10-15 tons/acre,"Flower cutting, cold storage",120.0,150.0,6.5,7.5
136,Gerbera,Pink Elegance,Floriculture,Flower,"Ornamental, Florist",Aug-Sept,"Sandy loam, loam","18-24°C, 65-80% RH","20-28°C, 65-75% RH","24-28°C, 60-75% RH","16-20°C, 45-60% RH",150:100:120 (g/plant/year),"80,000-120,000 stems/acre","Grading, cold storage",120.0,140.0,5.5,6.5
137,Pomegranate,Bhagwa,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, Jun-Aug","Sandy loam, loam","24-32°C, 60-80% RH","28-34°C, 55-70% RH","28-36°C, 40-65% RH","24-32°C, 50-60% RH",600:250:250 (g/plant),8-10 tons/acre,"Grading, wax, storage",170.0,200.0,6.0,7.5
138,Pomegranate,Ganesh,Horticultural,Fruit,"Food, Juice, Pharma","Jan-Feb, Jun-Aug","Sandy loam, loam","24-32°C, 60-80% RH","28-34°C, 55-70% RH","28-36°C, 40-65% RH","24-32°C, 50-60% RH",600:250:250 (g/plant),7-9 tons/acre,"Grading, wax, storage",170.0,195.0,6.0,7.5
139,Aonla,NA-7,Horticultural,Fruit,"Food, Pharma, Export",July-Sept,"Sandy loam, loam","24-36°C, 60-80% RH","26-38°C, 60-80% RH","28-36°C, 55-70% RH","18-30°C, 50-65% RH",500:200:200 (g/plant/year),7-9 tons/acre,"Grading, packing, chilling",160.0,180.0,6.5,8.0
140,Ber,Goma Kirti,Horticultural,Fruit,"Food, Processing",June-July,"Sandy, loam, red soil","24-38°C, 55-75% RH","28-36°C, 60-75% RH","28-36°C, 50-70% RH","20-30°C, 50-60% RH",500:200:200 (g/plant/year),5-8 tons/acre,"Grading, chilling, packaging",140.0,160.0,6.5,8.5
141,Watermelon,Arka Jyoti,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, June-Jul","Sandy loam, loamy sand","28-35°C, 60-80% RH","30-38°C, 55-75% RH","30-38°C, 50-65% RH","22-32°C, 50-65% RH",100:50:50 (kg/ha),25-30 tons/acre,"Grading, chilling, packaging",75.0,100.0,6.0,7.5
142,Onion,Agrifound Light Red,Horticultural,Bulb,"Food, Export","Nov-Dec, Jan-Feb","Sandy loam, loam","20-28°C, 65-80% RH","24-34°C, 50-70% RH","22-28°C, 40-60% RH","16-22°C, 40-55% RH",60:40:40 (kg/ha),12-16 qtl/acre,"Curing, sorting, storage",90.0,110.0,6.0,7.0
143,Gerbera,Pink Elegance,Floriculture,Flower,"Ornamental, Florist",Aug-Sept,"Sandy loam, loam","18-24°C, 65-80% RH","20-28°C, 65-75% RH","24-28°C, 60-75% RH","16-20°C, 45-60% RH",150:100:120 (g/plant/year),"80,000-120,000 stems/acre","Grading, cold storage",120.0,140.0,5.5,6.5
144,Ashwagandha,Jawahar Ashwagandha-20,Medicinal,Root,"Pharma, Ayurveda",June-July,"Sandy loam, red soil","25-34°C, 55-70% RH","28-38°C, 45-65% RH","22-26°C, 40-60% RH","21-27°C, 40-56% RH",25:25:0 (kg/ha),8-11 qtl/acre,"Washing, drying, root grading",150.0,170.0,7.0,8.0
145,Guava,Allahabad Safeda,Horticultural,Fruit,"Food, Processing","Jul-Aug, Feb-Mar","Sandy loam, loam","22-32°C, 65-80% RH","24-35°C, 60-85% RH","24-30°C, 50-65% RH","18-28°C, 45-60% RH",600:300:400 (g/plant/year),8-12 tons/acre,"Grading, chilling, packing",120.0,150.0,6.0,7.0
146,Bael,NB-5,Horticultural,Fruit,"Food, Pharma",July-Aug,"Sandy loam, loamy","24-36°C, 60-85% RH","26-40°C, 60-80% RH","28-38°C, 50-65% RH","20-30°C, 45-60% RH",500:200:200 (g/plant/year),6-8 tons/acre,"Sorting, grading, storage",180.0,200.0,6.5,8.0
147,Moth,RMO 225,Pulse,"Seed, Fodder","Food, Fodder",June-July,"Sandy, loamy sand","30-38°C, 60-80% RH","32-42°C, 50-65% RH","30-38°C, 45-65% RH","22-32°C, 40-60% RH",15:32:17 (kg/ha),2.5-3.2 qtl/acre,"Drying, shelling, cleaning",70.0,75.0,7.0,8.0
148,Moth,RMO 40,Pulse,"Seed, Fodder","Food, Fodder",June-July,"Sandy, loamy sand","30-38°C, 60-80% RH","32-42°C, 50-65% RH","30-38°C, 45-65% RH","22-32°C, 40-60% RH",15:32:17 (kg/ha),2-3 qtl/acre,"Drying, shelling, cleaning",65.0,75.0,7.0,8.0
149,Gram,GNG 1581,Pulse,Seed,"Food, Dal",Oct-Nov,"Sandy loam, loam","20-28°C, 60-75% RH","18-28°C, 55-70% RH","16-24°C, 40-60% RH","14-20°C, 35-50% RH",20:40:40 (kg/ha),7-9 qtl/acre,"Cleaning, winnowing, storage",110.0,120.0,6.0,7.5
150,Pomegranate,Ruby,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, Jun-Aug","Sandy loam, loam","24-32°C, 65-80% RH","28-34°C, 60-80% RH","28-36°C, 55-65% RH","22-32°C, 50-65% RH",600:250:250 (g/plant),8-10 tons/acre,"Grading, waxing, cold storage",180.0,200.0,6.0,7.5
151,Aonla,NA-10,Horticultural,Fruit,"Food, Pharma, Processing",July-Sept,"Sandy loam, loam","24-36°C, 60-80% RH","26-38°C, 65-80% RH","28-36°C, 50-65% RH","18-30°C, 50-65% RH",500:200:200 (g/plant/year),6-8 tons/acre,"Grading, packing, chilling",160.0,180.0,6.5,8.0
152,Ber,Seb,Horticultural,Fruit,"Food, Processing",June-July,"Sandy, loam, red soil","24-38°C, 58-75% RH","28-36°C, 60-75% RH","28-36°C, 50-70% RH","20-30°C, 45-60% RH",500:200:200 (g/plant),4-7 tons/acre,"Grading, packaging, chilling",130.0,145.0,6.5,8.5
153,Watermelon,Sugar Baby,Horticultural,Fruit,"Food, Juice, Export","Jan-Feb, Jun-Jul","Sandy loam, loamy sand","28-35°C, 60-80% RH","30-38°C, 55-70% RH","30-38°C, 50-65% RH","22-32°C, 50-65% RH",100:50:50 (kg/ha),21-24 tons/acre,"Grading, packaging, chilling",75.0,90.0,6.0,7.5
154,Onion,Bhima Super,Horticultural,Bulb,"Food, Export","Nov-Dec, Feb-Mar","Sandy loam, loam","18-28°C, 65-80% RH","24-34°C, 50-65% RH","22-28°C, 40-60% RH","16-22°C, 40-55% RH",60:40:40 (kg/ha),14-17 qtl/acre,"Curing, sorting, storage",90.0,110.0,6.0,7.0
155,Tomato,Pusa Rohini,Horticultural,Fruit,"Food, Processing","June-Jul, Nov-Dec","Sandy loam, loam","20-28°C, 70-80% RH","26-32°C, 65-75% RH","20-28°C, 50-65% RH","18-25°C, 45-60% RH",100:50:50 (kg/ha),16-20 tons/acre,"Sorting, grading, packing",105.0,120.0,6.0,7.0
156,Potato,Kufri Pukhraj,Horticultural,Tuber,"Food, Seed",Oct-Nov,"Sandy loam, loam","16-22°C, 75-85% RH","18-23°C, 70-80% RH","15-20°C, 70-80% RH","10-16°C, 60-65% RH",120:80:120 (kg/ha),80-100 qtl/acre,"Curing, grading, cold storage",90.0,100.0,5.5,7.5
157,Bitter Gourd,Arka Harit,Horticultural,Fruit,"Food, Export","Feb-Mar, Jun-Jul","Sandy loam, loam","24-28°C, 70-80% RH","26-34°C, 55-75% RH","26-36°C, 40-60% RH","20-28°C, 45-65% RH",100:50:50 (kg/ha),8-12 tons/acre,"Grading, packaging, chilling",70.0,80.0,6.0,6.7
158,Castor,GCH 4,Oilseed,"Seed, Oil","Oil, Industrial",Jul-Aug,"Sandy loam, loam","25-35°C, 60-70% RH","28-38°C, 55-65% RH","30-38°C, 40-55% RH","22-28°C, 35-50% RH",50:25:0 (kg/ha),11-13 qtl/acre,"Drying, cleaning, grading",135.0,145.0,6.0,7.5
159,Flax,JLS 67,Fibre,"Seed, Fibre","Oil, Fibre, Export",Oct-Nov,"Sandy loam, loam","14-22°C, 60-70% RH","18-28°C, 65-75% RH","16-24°C, 45-55% RH","14-22°C, 40-60% RH",50:20:20 (kg/ha),4-7 qtl/acre (seed),"Retting, drying, baling",120.0,130.0,6.0,7.0
160,Hemp,Kompolti,Fibre,"Fibre, Seed","Textile, Bioplastics","Jun-Jul, Feb-Mar","Sandy loam, loam","14-28°C, 70-80% RH","20-32°C, 50-70% RH","20-30°C, 45-60% RH","14-26°C, 45-60% RH",80:50:50 (kg/ha),8-10 qtl/acre (fibre),"Retting, drying, baling",120.0,150.0,6.0,7.5
161,Drumstick,Bhagya,Horticultural,"Pod, Leaf","Food, Processing","Jun-Jul, Feb-Mar","Sandy loam, loam","22-32°C, 65-78% RH","25-35°C, 60-70% RH","22-34°C, 60-70% RH","18-26°C, 45-65% RH",30:30:20 (kg/ha),10-12 tons/acre,"Grading, packing, chilling",225.0,230.0,6.0,7.5
162,Fenugreek,RMt-1,Spice,"Seed, Leaf","Food, Pharma, Export",Oct-Nov,"Sandy loam, black, saline","18-25°C, 60-75% RH","22-30°C, 65-80% RH","20-28°C, 50-65% RH","18-25°C, 45-60% RH",40:20:30 (kg/ha),6-8 qtl/acre,"Threshing, drying, grading",100.0,120.0,6.0,7.5
163,Coriander,RCr-684,Spice,"Leaf, Seed","Food, Export, Essential Oil",Oct-Nov,"Sandy loam, loam","19-25°C, 60-70% RH","20-28°C, 55-65% RH","19-26°C, 40-55% RH","16-24°C, 38-55% RH",40:20:30 (kg/ha),7-9 qtl/acre,"Drying, cleaning, grading",100.0,120.0,6.0,7.5
164,Fennel,RF-256,Spice,Seed,"Food, Export, Oil",Oct-Nov,"Sandy loam, alluvial","19-25°C, 60-70% RH","22-28°C, 55-70% RH","22-28°C, 50-65% RH","16-24°C, 38-55% RH",90:40:40 (kg/ha),6-8 qtl/acre,"Drying, cleaning, grading",135.0,150.0,6.3,8.4
165,Basil,CIM-Saumya,Aromatic,"Leaf, Oil","Essential Oil, Pharma","Feb-Mar, Jul-Aug","Sandy loam, loam","18-28°C, 65-80% RH","24-32°C, 65-85% RH","24-32°C, 55-65% RH","20-26°C, 45-60% RH",100:60:40 (kg/ha),5-6 tons/acre (herbage),"Drying, distillation, oil extraction",90.0,110.0,6.0,8.0
166,Ashwagandha,Jawahar Ashwagandha-20,Medicinal,Root,"Pharma, Ayurveda",Jun-Jul,"Sandy loam, red soil","25-34°C, 55-70% RH","28-38°C, 45-65% RH","22-26°C, 40-60% RH","21-27°C, 40-56% RH",25:25:0 (kg/ha),8-11 qtl/acre,"Washing, drying, root grading",150.0,170.0,7.0,8.0
